sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9714779842265566
6.9,3.1,5.1,2.3,virginica,0.9704790231939229
5.1,2.5,3.0,1.1,versicolor,0.9571374647272198
4.4,2.9,,0.2,setosa,0.6223095003361205
5.9,3.0,5.1,1.8,virginica,0.78024035530761
5.5,3.5,1.3,0.2,setosa,0.9573690855643123
5.6,,3.6,1.3,versicolor,0.9455071815675963
6.5,3.0,5.2,2.0,virginica,0.9550896605379836
5.3,3.7,1.5,0.2,setosa,0.9626557523081836
5.1,3.4,1.5,,setosa,0.8057385168812656
6.1,2.8,4.0,1.3,versicolor,0.9817494703825999
5.5,2.4,3.7,1.0,versicolor,0.9819478295583104
7.7,3.0,6.1,2.3,virginica,0.965722582604632
6.9,3.1,4.9,1.5,versicolor,0.7569397876326504
6.0,2.2,5.0,1.5,versicolor,0.5926130777946583
